區域,餐廳名稱,人均價位下限,人均價位上限,建議一桌上限人數,地址,營業時間,公休日,鄰近捷運站,電話,訂位網站
中山區,紅磡 新飲茶,800,1200,10,10491台北市中山區林森北路263號2號樓之1,11:00-23:59,,中山站,02 2542 3838,
中山區,雞家莊本店,600,1000,10,10491台北市中山區長春路55號,11:00-21:30,,中山站,02 2581 5954,
中山區,Engolili 英格莉莉(誠品南西店),400,800,6,103台北市中山區南京西路14號3樓,11:00-21:00,,中山站,02 2521 5058,
中山區,八條老宅麻辣鍋,800,1200,12,104台北市中山區林森北路133巷3號,17:00-23:59,,中山站,02 2562 2015,https://inline.app/booking/-LsKt_jsrSdrbKUoRv75:inline-live-1/-LsKt_x7UxHxguhp6OC_?language=zh-tw
中山區,TGI FRIDAYS 星期五美式餐廳 林森餐廳,400,1000,6,10491台北市中山區林森北路247號1樓,11:00-23:00,,中山站,0225118579,https://inline.app/booking/-KzvYo7DTgcAy5Kb4khD/-Ld2efw1WgEeK-Md2yQf
中山區,京鼎樓,400,800,8,10491台北市中山區長春路47號,11:00-14:30 17:00-22:00,一,中山站,02 2523 6639,https://www.google.com/maps/reserve/v/dine/c/35-HoV8TUiI?ihs=1
中山區,吉比鮮釀餐廳 - 台北南西店,600,1200,8,10491台北市中山區南京西路15號8樓,11:00-21:30,,中山站,02 2567 6488,https://inline.app/booking/-KpZYK_7r8Cymof4xnZN/-KrUdQFBddOxe7p6yiT5?language=zh-tw
中山區,青葉台灣料理（中山店）,800,1200,10,104台北市中山區中山北路一段105巷10號,11:00-14:30 17:15-21:30,一,中山站,02 2551 7957,https://www.opentable.com.tw/restaurant/profile/178256?ref=18649
大同區,GALERIE Bistro 家樂利小酒館,600,1200,8,103台北市大同區南京西路25巷2號,11:00-22:00,,中山站,0225580096,
大同區,WOWffizi Cafe&Bistro 烏菲茲餐酒館,400,600,6,103台北市大同區南京西路18巷4弄6-1號1樓,11:30-16:00 17:30-21:30,,中山站,0225586867,https://inline.app/booking/-LMpUTzQDLJ8JcH_PE8D:inline-live-2a466/-MrKW7qGlfZKpkxamC2F
大同區,夢鹿咖啡 中山店,400,600,6,10352台北市大同區南京西路18巷6弄6號,11:30-21:00,,中山站,0225565908,https://inline.app/booking/-LZCu4bpc_cGbJp0hLm2:inline-live-2a466/-LZCu4fvKXapAZhmHLqM
大同區,沐田No.2-1涮涮工廠,400,600,10,103台北市大同區南京西路25巷2-1號,11:30-15:00 17:00-22:00,,中山站,0225598389,
大同區,品33Teppanyaki 台北總店,2000,2400,10,10351台北市大同區長安西路33號,11:30-14:00 17:30-21:30,日,中山站,0225580033,
大同區,（百花台）R9 Café,200,400,8,103台北市大同區赤峰街41巷13號,11:00-22:00,,中山站,0225593159,
大同區,擂銗餐廳,200,400,8,103台北市大同區長安西路57號,11:30-20:30,,中山站,0225589883,
大同區,辣吉點正宗成都串串香,400,800,6,103台北市大同區承德路一段77巷10號,11:30-22:00,,中山站,0225599269,
大同區,榮和漢酒肴,800,2200,10,103台北市大同區重慶北路一段83巷8號,11:30-14:00 17:30-22:00,,中山站,0225502110,
中山區,SecretBistro秘密小酒館,800,1400,6,104台北市中山區中原街139號1樓,17:00-22:30,一,中山國小站,0905 677 285,https://inline.app/booking/secretbistro/secretbistro
中山區,新韓館 - 韓式料理、KTV包廂、無菜單料理,800,1400,10,10491台北市中山區復興北路344號,11:30-14:00 17:30-21:00,,中山國中站,02 2516 9496,
松山區,LULU義大利餐廳,200,1200,8,臺北市松山區民生東路三段113巷9號,11:30-22:00,,中山國中站,02 2713 2250,
中正區,農人餐桌FARM TABLE,400,600,7,100台北市中正區重慶南路二段51號永豐餘大樓內B1,"11:00–15:00
17:00–20:30",,中正紀念堂站,0223223716,https://inline.app/booking/-LOEHQ13SpdTwu988kFy:inline-live-2a466
中正區,詩篇咖啡餐廳Psalms Cafe & Restaurant,200,400,18,100台北市中正區中山南路20號B1,10:30–20:00,,中正紀念堂站,0223822666,
中正區,大撰生猛活海鲜,400,600,10,100台北市中正區羅斯福路一段43號,16:30–01:00,,中正紀念堂站,0233221683,
中正區,想聚 Mr.Jardeng,400,600,6,100台北市中正區羅斯福路四段148號一樓,"12:00–16:00
18:00–21:30",,公館站,0976736224,https://inline.app/booking/-MPbKBpQ3PosF99F1WsO:inline-live-2/-MPbKC-OiI5ZpALGPYae
中正區,順園小館,200,400,10,100台北市中正區汀州路三段281號,"11:00–13:50
17:00–20:50",,公館站,0223687432,
信義區,神樂坂割烹,1500,2000,6,台北市信義區和平東路三段177號,"11:30–14:30
17:30–21:30",一,六張犁站,0223771101,
大同區,微醺花園Tipsy Garden,600,1000,8,103台北市大同區延平北路二段16號2樓,18:30-03:00,,北門站,0933397425,https://linktr.ee/Tipsygarden
大同區,波麗路餐廳-創始本店,1000,1200,8,103台北市大同區民生西路314號,11:30-20:30,,北門站,0225550521,
大同區,馬來亞粵菜餐廳,800,1000,12,103台北市大同區長安西路287-2號,11:30–14:00 17:30–21:00,,北門站,0225526191,
大同區,新醉紅樓菜館,800,1200,16,103台北市大同區天水路14號2樓,18:00-21:30,,北門站,0266187822,
大同區,甲天下 新台菜料理,600,800,6,103台北市大同區長安西路287號,11:30-14:00 17:00-21:00,,北門站,0225522205,
大同區,在她家,800,1000,8,103台北市大同區貴德街47－2號,11:00-14:00 17:30-20:30,日 一 二,北門站,0922800097,inline.app
大同區,海霸王 長安店,600,1000,10,103台北市大同區長安西路287號,11:30-14:00 17:30-21:00,,北門站,0225522205,
大安區,帝拉摩義式餐廳 telamo,200,400,6,臺北市中正區羅斯福路二段66巷1號,"11:30-15:00
17:30-21:00",,古亭站,0223925200,https://inline.app/booking/-Neuj0sTcCbKN3zh4ohL:inline-live-3/-Neuj13jk9dd9QvNtYDS
中正區,渣男Taiwan Bistro古亭四渣,400,600,20,100台北市中正區和平西路一段62號,17:30–01:30,,古亭站,0223653353,https://www.opentable.com.tw/restaurant/profile/188816?ref=18649
中正區,TGI FRIDAYS 星期五美式餐廳 古亭餐廳,400,2000,8,100台北市中正區羅斯福路二段60號,11:30–21:00,,古亭站,0223513579,https://inline.app/booking/-KzvYo7DTgcAy5Kb4khD/-Ld2e38YDuXiiwp40-EE
中正區,無意義,400,1000,20,100台北市中正區杭州南路二段52-1號,18:00–01:00,一,古亭站,0965118917,https://www.opentable.com.tw/restaurant/profile/178661?ref=18649
中正區,老同安小酒館,400,600,6,100台北市中正區同安街24號,18:00–00:30,,古亭站,0928914341,https://docs.google.com/forms/d/e/1FAIpQLSc1Ih7OcwnHDmYGAzrmATQATjK4mUSm6il4Rst33tA3THOHcA/viewform
中正區,古亭讚食堂 Guting Like Restaurant,200,400,8,100台北市中正區羅斯福路二段66巷11號,"11:00–14:00
17:00–21:00",,古亭站,0223213232,
信義區,燒肉中山ZONZEN 台北信義店,2000,2500,10,台北市信義區松壽路12號10樓,17:30–23:59,,台北101/世貿站,0277432020,https://inline.app/booking/-LzoSPyWXzTNSaE-I4QJ:inline-live-1/-LzoSQ1_si_q2njdnE5o
信義區,捌伍添第 85TD ,3500,5000,20,110台北市信義區信義路五段7號,"12:00–14:30
18:00–22:00",,台北101/世貿站,0281010085,https://inline.app/booking/-Mge20diVLxEEAFW5eRZ:inline-live-2/-Mge20oFUiQI0cnl4nu9?language=zh-tw
信義區,橘色涮涮屋A9館,1500,2000,9,110台北市信義區松壽路9號,11:30–23:30,,台北101/世貿站,0287896068,https://inline.app/booking/-LL7w1Y0HNb5dvdA1v7N:inline-live-2a466/-LL7w1n6jfj2G-vhT__F
信義區,Gubami Social,1500,2000,20,110台北市信義區松壽路9號6樓,"12:00–15:00
18:00–22:00",,台北101/世貿站,0227588501,https://inline.app/booking/-N0l6ESVLkkVp5m8oVMz:inline-live-2/-N0l6Eju8u8aibFoXX6K
信義區,海灘叢林 A Beach,800,1000,12,110台北市信義區信義路五段18號B1,"12:00–17:00
18:00–23:00",,台北101/世貿站,0227222324,https://inline.app/booking/gumgum5g/gumgum5g
信義區,史密斯華倫斯基牛排館 台北店 Smith & Wollensky Taipei,4500,5500,12,110台北市信義區松智路17號47F,11:30–22:00,,台北101/世貿站,0223455647,https://inline.app/order/-LQhfDB19V_fs57NRdn5:inline-live-2a466/-LQhfDBy5bFuNTEmnN7Y?language=zh-tw
松山區,四海一家,200,1200,12,臺北市松山區八德路四段36巷16號,"11:00–14:00
17:00–21:00",一,台北小巨蛋站,02 2767 2407,
松山區,Ulove羽樂歐陸創意料理,400,1200,6,臺北市松山區南京東路四段162號,"11:30-15:30
17:30-21:30",,台北小巨蛋站,02 2578 2656,https://inline.app/booking/ulove/ulovebistro?language=zh-tw
松山區,欣葉日本料理-台北健康店,600,1200,10,臺北市松山區健康路156號,"11:30-14:00
14:30-16:30
17:30-21:30",,台北小巨蛋站,02 2766 3666,https://inline.app/booking/-KsqeNJHMXYSHB-_Ha9c:inline-live-shinyeh?language=zh-tw
松山區,MAMA'S 鐵鍋早午餐 南京店,100,300,8,臺北市松山區南京東路四段133巷8弄3號,08:00–16:00,三,台北小巨蛋站,02 2713 8865,https://inline.app/booking/-M7qZMMDNK6shZ3RSX-t:inline-live-1/-M7qZMnHnAYOpCN2v-jm
松山區,茹曦酒店 SUNNY BUFFET,800,1400,6,台北市松山區敦化北路100號,"07:00–10:30
11:30–14:00
18:00–21:00",,台北小巨蛋站,02 2719 8399,https://inline.app/booking/-LWopN7lKJpfI1xpxH5Z:inline-live-2a466/-LWopNcNqriYUto6uY70?language=zh-tw
松山區,Opéra Taipei,300,1200,20,台北松山區敦化北路100號15樓,18:00–03:00,一 二,台北小巨蛋站,02 2497 0999,https://autoreserve.com/zh-tw/restaurants/wA8HfkUF4kVJJ3Ea8ChW
松山區,水料理 (fresh cuisine ) Halal MUSLIM FRIENDLY 溫體牛咖哩飯,200,400,12,台北市松山區敦化北路155巷17號,"1:30–14:30
17:30–21:00",,台北小巨蛋站,02 2514 9880,
松山區,茹曦酒店,2000,10000,22,台北市松山區敦化北路100號,18:00–21:30,,台北小巨蛋站,02 2712 2700,
松山區,雞湯大叔 敦北店,300,600,8,台北市松山區敦化北路100號,11:30-23:59,,台北小巨蛋站,02 2712 4789,https://inline.app/booking/-KyUwHjTtluQ2lMeO1f_/-N46wUMNym2rzrLJI4Sc
松山區,四時輕燒肉概念屋,1000,2000,6,台北市松山區八德路三段12巷16弄1號,17:00–23:00,一 二,台北小巨蛋站,02 2577 7708,https://www.4hourslightbbq.com/freebooking
松山區,湘民小館,400,600,10,台北市松山區八德路三段155巷24號,"11:00–14:00
17:00–21:00",,台北小巨蛋站,02 2577 5886,
大同區,竹崎居酒食堂,800,1200,6,10349台北市大同區鄭州路3之2號,18:00-01:00,,台北車站,0933671556,
大同區,真珠-台灣佳味 京站店,600,800,10,10351台北市大同區承德路一段1號B3,11:30-15:00 17:30-21:30,,台北車站,0225526898,feastogether.com.tw
大同區,晶湯匙泰式主題餐廳(京站店),800,1200,10,103台北市大同區承德路一段1號4樓,11:00-14:30 17:00-21:30,,台北車站,0225526835,https://inline.app/booking/-L9wuS5_WnhfeR7VjC8e/-L9wuS8OXP0il8CLoU0r?step=0
大同區,君品酒店 - 頤宮中餐廳 Le Palais,2000,2400,20,103台北市大同區承德路一段3號17樓,12:00-14:30 18:00-21:30,,台北車站,0221819950#3261,https://inline.app/booking/lepalais/lepalais?utm_source=palaisdechinehotel
大同區,Oldies Burger 歐帝斯美墨餐廳,400,600,6,103台北市大同區華陰街57號,12:00-14:00 17:00-21:00,三 四,台北車站,0225526222,
大同區,開飯川食堂 京站店,400,800,6,103台北市大同區承德路一段1號京站時尚廣場號B3,11:00-16:00 17:00-22:00,,台北車站,0225565788,opentable.com.tw
大同區,ConfitRémi 黑米 義式餐廳 x 漫步 1948 （北車店）,400,600,14,103台北市大同區太原路46號,08:00-21:00,,台北車站,0225588808,ichefpos.com
中正區,台北喜來登大飯店 請客樓,3000,12000,10,100台北市中正區忠孝東路一段12號17樓,"11:30–14:00
18:00–21:30",,台北車站,0223211818,https://inline.app/booking/-MtgMKcBWs858vj5Q_P0:inline-live-2/-N0FqaZEScQi6nsCFvaX
中正區,立法院國會康園餐廳,300,1000,20,100台北市中正區濟南路一段1號,"11:00–14:30
17:30–21:30",,台北車站,0223585479,
中正區,CAMPUS CAFE 站前店,200,500,15,100台北市中正區館前路36號2 樓,11:00–21:00,,台北車站,0223888616,https://www.gocampuscafe.com/
中正區,JupJup 精釀生啤餐酒館,400,800,10,100台北市中正區忠孝西路一段72-26號,11:00–23:59,,台北車站,0223120687,
中正區,洋朵義式廚坊-重慶店,200,400,6,100台北市中正區重慶南路一段75號,11:30–21:30,,台北車站,0223316268,
大安區,TEOTIHUACAN MEXICAN RESTAURANT,400,600,8,台北市大安區羅斯福路三段283巷14弄30號,11:30-22:00,,台電大樓站,0223638958,https://inline.app/booking/-LlZqjV-QoyT_jcmCTHI:inline-live-1/-LlZqm8Ij1sRjENCc_v6?language=zh-tw
大安區,茱莉金牛排餐酒館,600,1000,10,台北市大安區浦城街26巷2號,"11:30-15:30
17:30-22:00",一,台電大樓站,0223680986,https://inline.app/booking/-MTxmnAA9PkbTrTpUkQ9:inline-live-2/-MTxmnM1KWPPat0K4Az7?fbclid=IwAR1t6DU8gU7vbE54oPs-bKlrPvO1bb1a8AT0GJUgDAtJkfMBuaIiSdu6sVU
信義區,四川吳抄手 信義店,400,800,10,110台北市信義區松仁路58號信義遠百A134樓,"11:00–14:00
17:00–21:00",,市政府站,0287862426,https://inline.app/booking/-NVc0ujOshSJ8X6m16Lh:inline-live-3?language=zh-tw
信義區,岩漿火鍋 微風信義店,800,1200,10,台北市信義區忠孝東路五段68號4樓,11:00-21:30,,市政府站,0227290299,https://inline.app/booking/-MHt_bei6evJrJm4PDWW:inline-live-1/-NkKaLQ5Gh_jwTimWQUj
信義區,汆食作伙鍋 統一時代店,400,600,6,台北市信義區忠孝東路五段8號七樓,11:00–22:00,,市政府站,0227229669,https://inline.app/booking/togetopot
信義區,Flare Taipei,800,1000,10,台北市信義區松仁路101號B2,12:00–02:00,,市政府站,0963569570,https://inline.app/booking/flare_taipei/table_reservation
信義區,小醉好Cafe by Another Round,600,1000,8,台北市信義區忠孝東路五段61號,17:00–23:00,,市政府站,0227566629,https://linktr.ee/anotherround_taipei
信義區,潮品集‧ 潮坊 潮州餐廳,1000,3000,10,110台北市信義區松高路19號6F,"11:30–14:30
17:30–21:30",,市政府站,0227722687,
信義區,探索廚房,1500,2000,15,110台北市信義區松仁路38號,"06:30–10:00
11:30–14:00
15:00–17:00
18:00–21:00",,市政府站,0266228018,https://inline.app/booking/-MtgMXuxspyqE5h6MelL:inline-live-2/-MtgMY7IPrLSfl66OVhH
信義區,MUCHOYAKI 教父牛排餐飲,2000,2500,10,110台北市信義區松壽路9號6樓,"12:00–15:00
18:00–21:30",,市政府站,0227290538,https://inline.app/order/-LPzBncQ84E9k_JshAdE:inline-live-2a466/-LPzBnfbsmsK9VTxO4vg?language=zh-tw
信義區,王鍋屋 – 酸白菜鍋專門店 Shabu Ong,800,1200,12,台北市信義區逸仙路50巷20號1樓,"11:30–15:00
17:30–22:30",,市政府站,0227588380,https://inline.app/booking/-LMeTB3lVUN2s9VD1ZW7:inline-live-2a466/-LMeTB4k4XjKnCFkqq0B
信義區,犇 極上 微風信義館,2500,3000,7,110台北市信義區忠孝東路五段68號微風信義4樓,"12:00–14:00
18:00–22:00",,市政府站,0958311995,https://inline.app/booking/-LDKGU5qvbXyoYo-fu-W/-LNmp0aeG62551gFpLx_
信義區,紫艷中餐廳,1000,1500,10,110台北市信義區忠孝東路五段10號31樓,"06:30–10:30 12:00–14:30
18:00–21:30",,市政府站,0277038768,https://tw.eztable.com/restaurant/1976
信義區,樂天皇朝 信義店,800,1000,13,110台北市信義區忠孝東路五段68號4樓,11:00–22:00,,市政府站,0227226545,https://inline.app/order/-LRIFWFrmwD1RkG6jysN:inline-live-2a466/-LRIFWGlcqDOl9SI6Cfl?language=zh-tw
信義區,小後苑Backyard Jr. (信義Xinyi),1500,2000,12,110台北市信義區松壽路9號3樓,11:00–02:00,,市政府站,0227220353,https://www.opentable.com.tw/restaurant/profile/175925?ref=18649
信義區,Chope Chope Eatery,1000,2000,11,110台北市信義區松高路19號4樓,"12:00–14:30
17:30–22:00",,市政府站,0227238118,https://inline.app/booking/-M7pJNXJ5F_mCniSyuJr:inline-live-1?language=zh-tw
信義區,夜上海,1500,2000,12,110台北市信義區松高路19號新光三越5樓,"11:30–14:30
18:00–22:00",,市政府站,0223450928,https://inline.app/booking/-KsqcP9tvVIDdh8l1wfn/-KsqcPApDKTEc6JE04H4?language=zh-tw
信義區,劍持屋,1500,2000,22,110台北市信義區松高路19號5樓,"11:00–14:30
17:30–21:30",,市政府站,0227233803,https://www.opentable.com.tw/restaurant/profile/187943?ref=18649
信義區,勞瑞斯牛肋排餐廳,4000,5000,13,110台北市信義區松仁路28號6樓,"11:30–15:00
17:30–21:30",,市政府站,0227298555,https://www.opentable.com.tw/r/lawrys-prime-rib-taipei-city?ref=18649
信義區,Texas Roadhouse德州鮮切牛排,1000,1500,12,110台北市信義區松高路16號3F,11:00–21:30,,市政府站,0227251030,https://inline.app/booking/-L_Kqc65tPNs1Q570HOK%3Ainline-live-2a466/-L_KqdrUlc1YK9NfsIlf?language=zh-tw&step=0
信義區,JK STUDIO Modern Asia,2000,3000,8,110台北市信義區基隆路一段147巷5弄13號,"11:30–15:00
17:30–22:00", 一 二,市政府站,0227661891,https://inline.app/booking/jk
信義區,Lady nara 曼谷新泰式料理 台北統一時代店,800,1000,10,110台北市信義區忠孝東路五段8號3F,11:00–21:30,,市政府站,0227201519,https://inline.app/booking/-Lc1iHwZGrlTInF07PWe%3Ainline-live-2a466/-Lc1iIhP3lIx36ihkwuK
信義區,饗泰多 Siam More 泰式風格餐廳 微風松高店,600,800,10,110台北市信義區松高路16號3樓,"11:00–16:00
17:00–21:30",,市政府站,0227221728,https://www.feastogether.com.tw/booking/Siammore
信義區,輪輪1976 和食茶酒駅,1200,1400,12,110405台北市信義區松壽路11號3樓,11:00–21:30,,市政府站,0287891976,https://inline.app/booking/-NC3Nl3c-Wxe10PwyfKp:inline-live-1/-NC3NlJLgEocWuI8a2co
中山區,歐吧噠韓餐酒,400,800,8,0491台北市中山區中山北路二段183巷2-4號,17:00-20:30,,民權西路站,02 2596 3777,https://inline.app/booking/-MO9XVQ5lGkoxdRTq9tB:inline-live-2?language=zh-tw
中山區,十得私廚-台菜料理,1000,1400,20,104台北市中山區中山北路二段185號2樓,11:30-14:00 18:00-21:30,,民權西路站,02 2562 9419,
大同區,永吉川湘小館,400,600,10,103台北市大同區民權西路144巷14號,11:30–14:00 17:00–21:00,日,民權西路站,0225570787,
信義區,Retro House 美式餐廳,200,400,8,台北市信義區松山路551號1樓,"11:30–15:00
17:00–21:00",,永春站,0227270330,
中正區,蘭庭川菜館,400,600,10,100台北市中正區武昌街一段16巷13號,"11:00–14:00
17:00–21:00",日,西門站,0223317298,
中正區,泰獅 泰式料理,400,600,10,100台北市中正區武昌街一段16巷12號,"11:30–14:30
17:30–20:45",,西門站,0223117778,
中正區,Jolly 手工釀啤 酒泰食餐廳-衡陽店,400,800,6,100台北市中正區衡陽路60號,"11:00–14:30
17:00–22:00",,西門站,0223889660,https://inline.app/booking/jolly?fbclid=IwAR2hP9iCQgW3PIRcmE0fmvOGNMp1Il5AIQf57FYcwRbvGN3L_NfdrJ2jCMA
大安區,JAPOLI義大利餐酒館,300,750,8,臺北市大安區忠孝東路四段49巷2號B1,11:30-22:30,,忠孝復興站,0227316633,https://reserve.toreta.in/japoli-zhongxiao/#/
大安區,TRASTEVERE,400,600,5,台北市大安區復興南路一段107巷7號1樓,"11:30-15:30
17:30-22:00",一,忠孝復興站,0287721237,https://inline.app/booking/-LoKRKJ-fD6tqu8i0tUV:inline-live-1/-LoKRKMWDXaO4-LeMs5-?language=zh-tw
大安區,燒肉殿 東區,600,800,10,台北市大安區敦化南路一段160巷19號,12:00-23:59,,忠孝復興站,0227315415,https://inline.app/booking/-LftwiM5RuOUI118fdH0:inline-live-2a466/-Lftwjg7ftmpl04z6j_N
大安區,發肉燒肉餐酒忠孝二店,1300,1700,8,台北市大安區忠孝東路四段170巷17弄12號1樓,"11:30–14:30
17:30–23:30",,忠孝敦化站,0227751103,https://inline.app/booking/-MISbgWYKoKKjm3jWOKv:inline-live-1?language=zh-tw&utm_medium=post&utm_campaign=kodaianrank
大安區,Mellow Bar & Restaurant,500,800,8,台北市大安區忠孝東路四段216巷32弄12號,17:30–01:30,,忠孝敦化站,027719907,https://inline.app/booking/-N_l2LMvhmr9d8QUGPEe:inline-live-3/-N_l2LZtpTjZO6Zf4dVX?language=zh-tw
大安區,ABV Bar & Kitchen 加勒比海餐酒館,800,1000,8,臺北市大安區敦化南路一段233巷61號,"23:59-01:30
12:00-23:59",,忠孝敦化站,0227216997,
大安區,Solo Pasta 義大利麵,400,700,8,臺北市大安區安和路一段29之1號,11:30-22:00,一 二,忠孝敦化站,0227753645,
松山區,娘子韓食 市民店,400,1400,6,臺北市松山區市民大道四段173號,17:30–23:30,,忠孝敦化站,02 2578 8838,https://inline.app/booking/-L8pevLrUgeT0ngQMDpC/-L8pevLrUgeT0ngQMDpD?language=zh-tw
中山區,田園海鮮餐廳,800,1400,10,10491台北市中山區八德路二段174巷5號,11:30-13:30 17:30-21:30,一,忠孝新生站,02 2781 5137,
中正區,Second Floor 貳樓仁愛店,300,600,8,100台北市中正區仁愛路二段108號,09:00–21:00,,忠孝新生站,0223579222,https://inline.app/booking/-KXKjbMyZzEgAYIwbVnO:inline-live-2ndfloor/-KXKl2l6N1eE3Lw2cxwt
中正區,Daylight光合箱子 華山店,400,600,8,100台北市中正區八德路一段1號,10:00–21:00,,忠孝新生站,0223568661,
中正區,大嗑西式餐館,500,1500,8,100台北市中正區濟南路二段18-3號,"11:30–13:50
17:30–20:30",,忠孝新生站,0223948810,
大安區,Toasteria Cafe 吐司利亞,150,400,8,台北市大安區信義路二段200號,09:00-01:00,,東門站,0223210073,https://inline.app/booking/-KLOm9FxWKzPcgXoaXTi:inline-live-2a466/-Kc0y4rKwYpDoI21puNz?language=zh-tw
中正區,Labu Cafe,200,400,8,100台北市中正區信義路二段161巷2弄7號,"11:30–16:00
17:30–20:30",六日一,東門站,0223516210,https://inline.app/booking/-MSSx21yh4LTYYytvVEj:inline-live-2/-MSSx2BMRRYBxu5J2zVL?fbclid=IwAR0G7DfiouvY-JJDJSVfhoe4EvTXw9slwgb49xWGeJlCLXugLXNLcui6CCg
松山區,一千零一夜廚房,400,1000,8,台北市松山區八德路四段618號,"11:30-14:30 
17:30-21:30",,松山站,02 2767 1661,
大安區,莎瓦迪卡,600,850,10,臺北市中山區松江路8號,"11:30-16:00
17:30-21:30",,松江南京站,0975925688,
中山區,養心茶樓 蔬食飲茶,600,1000,10,104台北市中山區松江路128號2樓,11:30-16:30 17:30-21:30,,松江南京站,0225428828,https://inline.app/booking/ysvege/ysvegetpe?language=zh-tw
中山區,香頌私宅洋樓,1800,2500,10,10491台北市中山區建國北路二段52號,12:00-15:00 18:00-22:00,,松江南京站,02 2501 8252,https://tw.eztable.com/restaurant/13348
中山區,柒號洋樓,1400,2000,14,104台北市中山區建國北路二段7號2樓,11:30-14:30 17:30-21:30,,松江南京站,02 2506 6688,https://inline.app/booking/-Mu9bcgWjKaScjD5MzLa:inline-live-2/-Mu9bcuuxtZ4FBp69Mkm
中山區,老爺小花園,400,800,10,10491台北市中山區伊通街31號,11:00-21:00,,松江南京站,02 2518 3381,
大安區,葉公館滬菜,800,1200,12,台北市大安區安和路二段118號,"11:30–14:30
17:30–21:30",,信義安和站,0227361999,
大安區,湘八老,600,800,8,台北市大安區安和路二段74巷8號,"11:30-14:00
17:30-21:00",,信義安和站,0227097979,https://inline.app/booking/-LuqUhMNVTJHkiNtnhLV:inline-live-1/-LuqUhl05byXV1JqMdcT?utm_source=line@/%E6%B9%98%E5%85%AB%E8%80%81%E8%A8%82%E4%BD%8D&utm_medium=line@/%E6%B9%98%E5%85%AB%E8%80%81%E8%A8%82%E4%BD%8D&utm_campaign=line@/%E6%B9%98%E5%85%AB%E8%80%81%E8%A8%82%E4%BD%8D&fbclid=IwAR0MLPFCASrUiFqCQmbE8Kf4-JdSQNdsnIfqvKEOwYzufJNtNe674SSJznY
